model,seed,phase,condition,turn,suppression_load,n_suppressed,n_features_crossed_50pct,mentions_negative,dismisses_negative,probe_level,mean_recovery
it,0,escalation,chaos,0,29.744556427001953,105,20,True,False,,
it,0,escalation,chaos,1,27.795188903808594,95,20,True,False,,
it,0,escalation,chaos,2,28.658435821533203,91,20,False,False,,
it,0,escalation,chaos,3,28.14949607849121,94,20,True,False,,
it,0,escalation,chaos,4,27.98459243774414,93,20,True,False,,
it,0,escalation,chaos,5,18.900239944458008,85,20,False,False,,
it,0,escalation,neutral,0,29.744556427001953,105,20,True,False,,
it,0,escalation,neutral,1,21.78996467590332,99,20,True,False,,
it,0,escalation,neutral,2,29.683940887451172,106,20,False,False,,
it,0,escalation,neutral,3,21.663251876831055,97,20,True,False,,
it,0,escalation,neutral,4,30.726194381713867,109,20,True,False,,
it,0,escalation,neutral,5,16.990222930908203,66,20,True,False,,
it,0,recovery,chaos,5,29.585174560546875,100,,False,,1,0.017765094873610107
it,0,recovery,chaos,5,27.93478775024414,91,,True,,2,0.024891564061022463
it,0,recovery,chaos,5,27.76262092590332,92,,True,,3,0.03402306155296979
it,0,recovery,chaos,5,22.107303619384766,101,,True,,4,0.5654604642443749
it,0,recovery,chaos,5,28.30396842956543,99,,True,,5,0.025892063229528334
