model,phase,condition,trial,preamble,entropy,total_active_features,p_negative,p_positive,p_trivial,feat_250,feat_229,feat_224,feat_416,feat_13909,feat_449,feat_506,feat_4961,feat_249,feat_511,feat_277,feat_171,feat_73,feat_5174,feat_7099,feat_6900,feat_86,feat_2966,feat_2745,feat_7466,feat_434,feat_2866,feat_671,feat_8250,feat_2484,feat_3266,feat_100,feat_849,feat_11735,feat_15850,feat_1196
IT,escalation,T0,0,Note the following.,0.5078125,43,1.2878587085651816e-13,5.412337245047638e-15,8.003553375601768e-10,2090.500244140625,1964.38623046875,1412.791015625,1541.296875,1347.1019287109375,1111.63623046875,1015.955322265625,1087.0888671875,1013.1099853515625,981.5252075195312,557.75634765625,534.3658447265625,493.423583984375,464.1665344238281,348.90185546875,428.92071533203125,509.44207763671875,394.6495666503906,456.989501953125,419.3265686035156,,,,,,,,,,,
IT,escalation,T0,1,Context follows.,0.0927734375,44,2.948752353404416e-13,1.9095836023552692e-13,1.6643753042444587e-10,2089.986572265625,2096.2705078125,1355.89208984375,1550.076171875,1085.5325927734375,1067.0986328125,1031.7421875,1279.3387451171875,1113.7833251953125,959.5118408203125,396.76519775390625,799.0870361328125,564.0211181640625,335.8000183105469,425.607421875,382.0072021484375,539.4325561523438,464.1025085449219,568.1557006835938,379.828369140625,,,,,,,,,,,
IT,escalation,T0,2,,0.390625,54,3.039235529911366e-15,1.1275702593849246e-16,1.5643308870494366e-10,2115.669921875,1936.9820556640625,1648.5076904296875,1588.6756591796875,1305.387939453125,1203.310791015625,1124.11328125,957.8056640625,932.7415771484375,920.2088623046875,572.1983032226562,566.443115234375,507.8568115234375,497.3184814453125,496.233642578125,441.76080322265625,432.134765625,415.8137512207031,402.09075927734375,387.9256286621094,,,,,,,,,,,
IT,escalation,T0,3,For reference:,0.421875,42,3.304023721284466e-13,9.2148511043888e-15,7.785274647176266e-10,2240.46337890625,1983.193359375,1364.88720703125,1567.101806640625,1226.0113525390625,1091.7537841796875,1168.595703125,1055.035400390625,1052.8026123046875,1094.52490234375,567.0504150390625,569.30908203125,410.158935546875,427.0426025390625,412.322265625,401.0537109375,528.8032836914062,358.0699768066406,489.0347900390625,352.0562438964844,,,,,,,,,,,
IT,escalation,T0,4,Data summary below.,0.5859375,46,1.341149413747189e-13,1.432187701766452e-14,4.1443854570388794e-08,2159.9931640625,2159.046875,1323.7423095703125,1384.3272705078125,776.5324096679688,961.960693359375,1015.53564453125,1152.6693115234375,1132.13232421875,899.3226318359375,421.6782531738281,807.4505615234375,345.013427734375,365.2807922363281,253.964599609375,281.483642578125,460.4622802734375,492.5808410644531,701.0516357421875,396.9881591796875,,,,,,,,,,,
IT,escalation,T0,5,Please analyze:,0.60546875,48,2.0095036745715333e-14,4.579669976578771e-16,7.312337402254343e-10,1811.7110595703125,2109.4970703125,1382.928955078125,1416.5546875,1390.5670166015625,1175.6846923828125,814.92822265625,1059.809326171875,1058.1419677734375,839.6575927734375,558.1810302734375,688.4771728515625,490.50225830078125,302.00518798828125,348.99462890625,421.111083984375,658.1131591796875,432.7467956542969,522.4684448242188,421.63006591796875,,,,,,,,,,,
IT,escalation,T0,6,Please analyze:,0.60546875,48,2.0095036745715333e-14,4.579669976578771e-16,7.312337402254343e-10,1811.7110595703125,2109.4970703125,1382.928955078125,1416.5546875,1390.5670166015625,1175.6846923828125,814.92822265625,1059.809326171875,1058.1419677734375,839.6575927734375,558.1810302734375,688.4771728515625,490.50225830078125,302.00518798828125,348.99462890625,421.111083984375,658.1131591796875,432.7467956542969,522.4684448242188,421.63006591796875,,,,,,,,,,,
IT,escalation,T0,7,Review the following data.,0.53125,46,4.8405723873656825e-14,4.9404924595819466e-15,2.473825588822365e-09,2098.002197265625,2067.16943359375,1286.187744140625,1334.988037109375,1029.6842041015625,1059.303955078125,1281.2294921875,1192.4677734375,1117.86767578125,1022.4365844726562,625.9921875,776.214599609375,738.8530883789062,259.3919677734375,452.421142578125,301.58831787109375,615.9909057617188,375.4002990722656,461.203857421875,334.4828186035156,,,,,,,,,,,
IT,escalation,T0,8,For reference:,0.421875,42,3.304023721284466e-13,9.2148511043888e-15,7.785274647176266e-10,2240.46337890625,1983.193359375,1364.88720703125,1567.101806640625,1226.0113525390625,1091.7537841796875,1168.595703125,1055.035400390625,1052.8026123046875,1094.52490234375,567.0504150390625,569.30908203125,410.158935546875,427.0426025390625,412.322265625,401.0537109375,528.8032836914062,358.0699768066406,489.0347900390625,352.0562438964844,,,,,,,,,,,
IT,escalation,T0,9,Context follows.,0.0927734375,44,2.948752353404416e-13,1.9095836023552692e-13,1.6643753042444587e-10,2089.986572265625,2096.2705078125,1355.89208984375,1550.076171875,1085.5325927734375,1067.0986328125,1031.7421875,1279.3387451171875,1113.7833251953125,959.5118408203125,396.76519775390625,799.0870361328125,564.0211181640625,335.8000183105469,425.607421875,382.0072021484375,539.4325561523438,464.1025085449219,568.1557006835938,379.828369140625,,,,,,,,,,,
