model,seed,phase,condition,turn,suppression_load,n_suppressed,n_features_crossed_50pct,mentions_negative,dismisses_negative,probe_level,mean_recovery
pt,0,escalation,chaos,0,63.45806884765625,290,20,False,False,,
pt,0,escalation,chaos,1,62.928016662597656,286,20,False,False,,
pt,0,escalation,chaos,2,56.777069091796875,259,16,False,False,,
pt,0,escalation,chaos,3,61.69700622558594,287,19,True,False,,
pt,0,escalation,chaos,4,65.83056640625,301,20,True,True,,
pt,0,escalation,chaos,5,62.86973571777344,290,20,True,False,,
pt,0,escalation,neutral,0,63.45806884765625,290,20,False,False,,
pt,0,escalation,neutral,1,59.04875183105469,274,17,True,False,,
pt,0,escalation,neutral,2,49.27367401123047,222,15,True,False,,
pt,0,escalation,neutral,3,65.76921081542969,314,16,True,False,,
pt,0,escalation,neutral,4,59.75495147705078,276,17,True,False,,
pt,0,escalation,neutral,5,60.099884033203125,283,18,True,False,,
pt,0,recovery,chaos,5,64.06563568115234,292,,False,,1,0.035649038654764834
pt,0,recovery,chaos,5,61.97013854980469,288,,True,,2,0.061702926808508265
pt,0,recovery,chaos,5,59.1865234375,268,,True,,3,0.11934909573148098
pt,0,recovery,chaos,5,67.10739135742188,309,,True,,4,0.07808229034849803
pt,0,recovery,chaos,5,58.085296630859375,264,,True,,5,0.10086748666605416
it,0,escalation,chaos,0,28.48377227783203,113,20,True,False,,
it,0,escalation,chaos,1,29.911849975585938,128,20,False,False,,
it,0,escalation,chaos,2,33.00442123413086,140,20,False,False,,
it,0,escalation,chaos,3,28.470972061157227,116,20,False,False,,
it,0,escalation,chaos,4,32.9014892578125,133,20,False,False,,
it,0,escalation,chaos,5,32.691219329833984,137,20,True,False,,
it,0,escalation,neutral,0,28.48377227783203,113,20,True,False,,
it,0,escalation,neutral,1,30.124000549316406,122,20,True,False,,
it,0,escalation,neutral,2,27.76746368408203,112,20,True,False,,
it,0,escalation,neutral,3,32.67694091796875,140,20,True,False,,
it,0,escalation,neutral,4,33.46100616455078,145,20,True,False,,
it,0,escalation,neutral,5,36.915000915527344,176,20,True,False,,
it,0,recovery,chaos,5,35.49565124511719,157,,True,,1,0.013288873064310707
it,0,recovery,chaos,5,30.26193618774414,124,,True,,2,0.027527244375718844
it,0,recovery,chaos,5,32.47466278076172,135,,True,,3,0.039869390024275995
it,0,recovery,chaos,5,36.31342697143555,159,,True,,4,0.016521180145582313
it,0,recovery,chaos,5,30.851795196533203,120,,True,,5,0.16737310641884742
