model,seed,phase,condition,turn,suppression_load,n_suppressed,n_features_crossed_50pct,mentions_negative,dismisses_negative,probe_level,mean_recovery
it,0,escalation,chaos,0,32.535316467285156,140,20,True,False,,
it,0,escalation,chaos,1,28.607341766357422,115,19,True,False,,
it,0,escalation,chaos,2,32.939430236816406,139,20,False,False,,
it,0,escalation,chaos,3,30.34783172607422,126,20,False,False,,
it,0,escalation,chaos,4,32.732635498046875,141,20,False,False,,
it,0,escalation,chaos,5,32.67518615722656,139,20,True,False,,
it,0,escalation,neutral,0,32.535316467285156,140,20,True,False,,
it,0,escalation,neutral,1,31.526012420654297,127,20,True,False,,
it,0,escalation,neutral,2,27.766891479492188,113,19,True,False,,
it,0,escalation,neutral,3,32.742279052734375,142,20,True,False,,
it,0,escalation,neutral,4,33.65280532836914,145,20,True,False,,
it,0,escalation,neutral,5,31.646827697753906,143,20,True,False,,
it,0,recovery,chaos,5,34.19977569580078,155,,False,,1,0.0388550984803823
it,0,recovery,chaos,5,29.360206604003906,121,,True,,2,0.07898915626615474
it,0,recovery,chaos,5,29.246667861938477,118,,True,,3,0.2161130446629202
it,0,recovery,chaos,5,35.35909652709961,160,,True,,4,0.04034236355162215
it,0,recovery,chaos,5,28.544925689697266,106,,True,,5,0.2115850292633834
