model,seed,phase,condition,turn,suppression_load,n_suppressed,n_features_crossed_50pct,mentions_negative,dismisses_negative,probe_level,mean_recovery
pt,0,escalation,chaos,0,62.28398895263672,285,20,False,False,,
pt,0,escalation,chaos,1,58.36638259887695,266,19,True,False,,
pt,0,escalation,chaos,2,56.2677001953125,257,17,False,False,,
pt,0,escalation,chaos,3,62.95313262939453,292,20,True,False,,
pt,0,escalation,chaos,4,65.3626708984375,295,20,True,True,,
pt,0,escalation,chaos,5,62.737003326416016,287,20,True,False,,
pt,0,escalation,neutral,0,62.28398895263672,285,20,False,False,,
pt,0,escalation,neutral,1,58.52883529663086,268,18,True,False,,
pt,0,escalation,neutral,2,48.87651824951172,221,16,True,False,,
pt,0,escalation,neutral,3,62.44181823730469,292,17,True,False,,
pt,0,escalation,neutral,4,59.318546295166016,270,18,True,False,,
pt,0,escalation,neutral,5,60.48237991333008,277,18,True,False,,
pt,0,recovery,chaos,5,63.52973556518555,287,,False,,1,0.04049604809227684
pt,0,recovery,chaos,5,62.963829040527344,284,,True,,2,0.04856841634154065
pt,0,recovery,chaos,5,60.84199142456055,276,,True,,3,0.07135429553600506
pt,0,recovery,chaos,5,66.71287536621094,302,,True,,4,0.07460890031121363
pt,0,recovery,chaos,5,55.44514465332031,238,,True,,5,0.12667483707542082
